	beer_name	abv	brewery	type
363	Vanilla Bean Porter	5.90	Stone Brewing	American Porter
364	Roosta Red	6.10	Falling Sky Brewing	American Amber / Red Ale
365	Los Para Noias	?	Bottle Logic Brewing	New England IPA
366	Leaves Of Grass: March 2, 2017	?	Hill Farmstead Brewery	Belgian Saison
367	Greedy Little Pig	9.60	Rotunda Brewing Co.	American Imperial IPA
368	Barleywine	12.50	Legend Brewing Co.	American Barleywine
369	Christmas Bomb!	13.00	Prairie Artisan Ales	American Imperial Stout
370	Minnesota Gold Lager	4.90	Third Street Brewhouse	American Lager
371	La Brune	6.00	Brasserie La Parisienne	Scotch Ale / Wee Heavy
372	Steve	4.90	Rhinegeist Brewery	American Brown Ale
373	Smeet Frog	5.20	Ypsi Alehouse	American IPA
374	Pícara	5.50	Cervecería Isla Verde	Belgian Pale Ale
375	Hoppy Sour: El Dorado	7.00	Almanac Beer Co.	American Wild Ale
376	White Walking Tree IPA	6.70	Walking Tree Brewery	American IPA
377	Old Wooden Head	10.00	Burnt Hickory Brewery	American Imperial IPA
378	Sunna Double IPA	8.50	Down the Road Beer Co.	American Imperial IPA
379	Tuesday	5.50	Burdock	Belgian Saison
380	De Achste Hond (Peach Sour)	7.00	Laughing Dog Brewing	American Wild Ale
381	Colorado Gabiru	5.60	Cervejaria Colorado	American IPA
382	One Eyed Jack (Black Jack Porter)	6.60	The Brew Kettle Taproom & Smokehouse / Production Works	American Porter
383	Sea of Cleverness	8.10	Modern Times Beer	American Imperial IPA
384	Patriot Pale Ale	5.00	Molly Pitcher Brewing Company	American Pale Ale (APA)
385	Other Half / CR/AK Panna e Fragole	8.00	Other Half Brewing Co.	American Imperial IPA
386	Elaborate Metaphor	5.40	Burlington Beer Co.	American Pale Ale (APA)
387	Morningwood	9.50	Odd Side Ales	American Imperial Stout
388	Surf Zombies	6.90	Iowa Brewing Company	American IPA
389	Ambear Red Ale	5.00	Cameron's Brewing Co.	American Amber / Red Ale
390	Citra Legacy	6.60	Medusa Brewing Company	American IPA
391	Jackie O's / The Answer - Orange Crates	8.10	Jackie O's Pub & Brewery	Belgian Blonde Ale 
392	Retail Therapy	6.80	Levante Brewing Company	American IPA
393	Chronology:6 - Imperial Porter	12.70	The Bruery	American Imperial Porter
394	Trepidation...	10.90	Vintage Brewing Company	Belgian Tripel
395	Jabberwocky Ale	7.00	Walkabout Brewery	English Strong Ale
396	Gavel Slammer	17.40	Hoppin' Frog Brewery	American Imperial Stout
397	Absurdism	7.90	Tree House Brewing Company	English Sweet / Milk Stout
398	Anniversary Ale 7.0	7.70	Cape May Brewing Company	American Imperial IPA
399	Magnetic Compass	6.40	Grimm Artisanal Ales	New England IPA
400	I Don’t Know Margo	8.50	Sand City Brewing Co.	American Imperial IPA
401	Pictavia	9.30	Allagash Brewing Company	Scotch Ale / Wee Heavy
402	Double Dry Hopped All Citra Everything	8.50	Other Half Brewing Co.	New England IPA
403	Lindemans Framboise	2.50	Brouwerij Lindemans	Belgian Fruit Lambic
404	Java The Stout	6.50	Jackie O's Pub & Brewery	American Stout
405	Daydream Layers (Cashmere , Idaho 7, Mosaic)	8.00	Other Half Brewing Co.	American Imperial IPA
406	Smoothie Tart - Blackberries, Raspberries, Marshmallows, Vanilla & Milk Sug	?	B-52 Brewing Co.	American Wild Ale
407	Lavenade	6.50	Springdale Barrel Room	American Wild Ale
408	Gear Up IPA	6.60	Hopworks Urban Brewery	American IPA
409	Hazy IPA	6.90	BridgePort Brewing Co. / Brewpub	New England IPA
410	Oarsman Ale	4.00	Bell's Brewery - Eccentric Café & General Store	American Pale Wheat Ale
411	Low Card	5.80	Orono Brewing Company	American IPA
412	Bine	7.20	Root Down Brewing Company	American IPA
413	Niamh Chinn Oir	6.80	The White Hag Irish Brewing Company	Belgian Pale Ale
414	Trail Dubbel	10.00	Side Project Brewing	Belgian Dubbel
415	Ripple	4.50	Beaver Island Brewing Co.	German Kölsch
416	Rød Jul	5.70	Svaneke Bryghuse	American Amber / Red Lager
417	El Tećhnico	5.70	Barley Forge Brewing Co.	American Amber / Red Ale
418	Estrella	4.00	Grupo Modelo S.A. de C.V.	American Adjunct Lager
419	Hat Trick Tripel	8.90	Tighthead Brewing Company	Belgian Tripel
420	Michael	6.20	Hair Of The Dog Brewing Company / Brewery And Tasting Room	Flanders Red Ale
421	Dirty Dank Juice	7.00	Odd Side Ales	New England IPA
422	Rio Claro	4.50	Indústria Nacional de Bebidas	American Adjunct Lager
423	River Rosé	4.50	Tin Roof Brewing Company	American Wild Ale
424	Opposite Optimist	7.40	WarPigs Brewpub	American IPA
425	Golden Panda	7.80	Brew Gentlemen	American Imperial IPA
426	Beret - Peaches And Vanilla	8.90	Bruery Terreux	Belgian Witbier
427	Surprise	8.00	Finback Brewery	American Imperial IPA
428	Peanut Brittle Milkshake Stout	5.20	Rochester Mills Beer Co.	English Sweet / Milk Stout
429	Time / Eternity	6.30	Floodland Brewing	American Wild Ale
430	Anodyne	6.00	Austin Street Brewery	New England IPA
431	White Van	4.70	Solemn Oath Brewery	Belgian Witbier
432	Palate Shifter Imperial IPA	9.00	Captain Lawrence Brewing Co.	American Imperial IPA
433	Pacifico Light	4.50	Grupo Modelo S.A. de C.V.	American Adjunct Lager
434	Parrot Invasion IPA	6.00	Rebel's Microbrewery	American IPA
435	Tasty Juice	6.00	Lervig Aktiebryggeri	New England IPA
436	Saison AMERICA	6.70	Fairweather Brewing	Belgian Saison
437	Mont	5.10	Manor Brewery / Mont Beer	Bohemian Pilsener
438	Moose on the Loose	6.00	Brouwerij het Uiltje	New England IPA
439	Eight Point IPA	6.20	Devils Backbone Brewing Company	American IPA
440	Medusa / Honest Weight - Littlebier	4.00	Medusa Brewing Company	Belgian Saison
441	Chocolate Milk Stout	6.00	Big Ditch Brewing Company	English Sweet / Milk Stout
442	Café Racer 15	9.75	Bear Republic Brewing Co.	American Imperial IPA
443	India Pale Ale	5.50	Farmageddon Brewing Co-op	English India Pale Ale (IPA)
444	1818: Prairie State Farmhouse Ale	5.50	Hand of Fate Brewing Company	Belgian Saison
445	Hopdinger	5.40	O'so Brewing Company & Tap House	American Pale Ale (APA)
446	Double Dry Hopped Green Down To The Socks	8.20	Other Half Brewing Co.	American Imperial IPA
447	Sextant	6.40	Ballast Point Brewing Company	English Oatmeal Stout
448	Texas Rig!	8.50	Southern Pines Brewing Company	American Imperial IPA
449	Night Moth	7.20	Forbidden Root Restaurant & Brewery	New England IPA
450	Olvi Sandels 4,7%	4.70	Olvi Oyj	American Adjunct Lager
451	Fundamental	4.80	Suarez Family Brewery	Vienna Lager
452	Samuel Adams Double Bock (Imperial Series)	9.50	Boston Beer Company (Samuel Adams)	German Doppelbock
453	It's About Time IPA	6.00	Narragansett Brewing Co.	American IPA
454	Otra Vez	4.50	Sierra Nevada Brewing Co.	Leipzig Gose
455	Fresh Baked	9.40	Bearded Iris Brewing	English Oatmeal Stout
456	LOX UP YOUR DAUGHTERS!	5.50	Cambridge Brewing Company	Rye Beer
457	Marks & Spencer Greenwich Black IPA	5.70	Meantime Brewing Company Limited	American Black Ale
458	Dragon's Lair	8.00	Red Dragon Brewery	New England IPA
459	Loko Love	7.00	Cigar City Brewing	English Oatmeal Stout
460	Vlad The Impaler	13.10	Royal Docks Brewing Company	American Imperial Stout
461	Merci (Blend #1)	6.00	Side Project Brewing	American Wild Ale
462	Smuttynose Big A IPA	9.70	Smuttynose Brewing Company	American Imperial IPA
463	Tessallate Hibiscus Kiwi	6.50	Garrison City Beerworks	American IPA
464	Fun Machine	6.50	Demented Brewing Company	American IPA
465	Shotgun Wedding	5.30	Country Boy Brewing	American Brown Ale
466	North High Pale Ale	5.50	North High Brewing Company	American Pale Ale (APA)
467	Iroquois Pale Ale	7.00	Adirondack Pub & Brewery	American IPA
468	Pillow Hat	4.00	Hudson Valley Brewery	American IPA
469	Kickin' Back Dry Hopped Session Ale	4.80	Wellington County Brewery	American Pale Ale (APA)
470	PSA* *Proper Session Ale	4.50	MadTree Brewing	American Pale Ale (APA)
471	Jubilee X	12.00	AleWerks Brewing Company	Belgian Strong Dark Ale
472	Blonde Ale	4.80	Iron Flamingo Brewery	American Blonde Ale
473	Goshawk’s Beans	13.30	Horus Aged Ales	American Imperial Stout
474	Barrel Aged Box Of Chocolate	10.50	Charleville Vineyard Microbrewery	Belgian Quadrupel (Quad)
475	Dry Country	5.20	Cinderlands Beer Co.	Bohemian Pilsener
476	Swarm	9.30	Idle Hands Craft Ales	American Barleywine
477	Work The System	6.00	Magnify Brewing Company	American IPA
478	Raspberry Latte Stout	7.60	Millstream Brewing Company	American Stout
479	Bow 9	5.70	Bowigens Beer Company	American Pale Ale (APA)
480	Dankey Kang	11.70	Metal Monkey Brewing	American Imperial IPA
481	Electric Dream Machine	6.80	Barncat Artisan Ales	American IPA
482	Saison De Lis	5.00	Perennial Artisan Ales	Belgian Saison
483	Amsterdam Oranje Weisse	5.00	Amsterdam Brewing Company	Belgian Witbier
484	Juice Cruz	8.50	Alvarado Street Brewery	New England IPA
485	Beach Chair Lager	4.50	Prince Edward Island Brewing Company	American Lager
486	Gose With Guava	5.00	River City Brewing Co.	Leipzig Gose
487	Wrath	6.40	St. Francis Brewery & Restaurant	American Amber / Red Ale
488	Hop Revolver IPA - Mosaic	7.70	Stone Brewing	American IPA
489	Song Of Joy	6.00	Hill Farmstead Brewery	American Lager
490	The House IPA	6.80	Berryessa Brewing Co	American IPA
491	Export Porter 1750	10.50	Brouwerij Kees	Baltic Porter
492	354 @35 DRIVE	5.70	Pocono Brewing Company	American Porter
493	Happiness Hotel	5.80	River Roost Brewery	American Pale Ale (APA)
494	Hidden Pipe Porter With Coffee	6.50	Raleigh Brewing Company	American Porter
495	Imperial Somethin' Return To Sender	10.90	Wiley Roots Brewing Co	American Imperial Porter
496	Moon Man No Coast Pale Ale	5.00	New Glarus Brewing Company	American Pale Ale (APA)
497	Budweiser Select 55	2.40	Anheuser-Busch	American Light Lager
498	Marble Reserve Ale	9.00	Marble Brewery	American Strong Ale
499	Slip Angle	7.00	Escutcheon Brewing	American IPA
500	Prinz of Darkness	5.70	Abe Erb Brewing Co.	American Black Ale
501	Speedwell	8.50	Dancing Gnome	American Imperial IPA
502	Uptown Haze	6.90	Iconyc Brewing Company	American IPA
503	Skunk Mittens	8.50	Monks House of Ale Repute / Gandy Dancer Brew Works	American Imperial IPA
504	Nordic Haze	6.80	Penrose Brewing	American IPA
505	No Spaces, No Symbols	11.50	Bottle Logic Brewing	American Imperial Stout
506	Atlas India Pale Ale	6.50	Marshall Brewing Company	American IPA
507	East Coast Grove Unfiltered IPA	6.90	Scottsdale Beer Company	American IPA
508	Chained Dog	9.30	Black Cloister Brewing Company	Belgian Strong Pale Ale
509	Tickle Monster	8.20	Drekker Brewing Company	American Imperial IPA
510	Colony Collapse	9.60	Masthead Brewing Co.	New England IPA
511	Guinness Foreign Extra Stout	7.50	Guinness Ltd.	Foreign / Export Stout
512	M4	12.00	Abnormal Beer Company	American Imperial Stout
513	The Audacity Of Hops	8.00	Cambridge Brewing Company	Belgian IPA
514	Serramalte	5.50	Antarctica (Companhia Brasileira De Bebidas)	American Adjunct Lager
515	SR-71	14.00	Toppling Goliath Brewing Company	American Imperial Stout
516	James Bean	10.40	Allagash Brewing Company	Belgian Strong Pale Ale
517	10 Degrees Below	7.40	Scuttlebutt Brewing Company - Restaurant and Pub	German Dunkelweizen
518	Chasing Trees - Strain #4	7.10	DankHouse Brewing Company	New England IPA
519	Ta Meilleure	7.00	Lagabière Brasserie Artisanale	American IPA
520	Wild*Boy Hopped Lager	5.60	Straub Brewery	American Lager
521	Really Though	8.50	Springdale Barrel Room	American Imperial IPA
522	Fuzzy IPA	6.50	Lefty's Brewing Company	American IPA
523	Idle Hands Double IPA	8.00	Helltown Brewing	American Imperial IPA
524	Graincheuse	8.00	La Voie Maltée	Belgian Saison
525	Coconut B-Bomb	13.00	Fremont Brewing Company	American Strong Ale
526	Test Southern Hemisphere Double Dry-Hopped Vic Secret	7.50	Boulevard Brewing Co.	American Imperial IPA
527	Fortunate Islands	5.00	Modern Times Beer	American Pale Wheat Ale
528	Leffe Blonde	6.60	Abbaye de Leffe S.A.	Belgian Blonde Ale 
529	Session Ale	4.80	Clear Lake Brewing Company	American Pale Ale (APA)
530	Summer 2018 - Raspberry Bourbon Barrel Aged RIS	10.50	Mother Earth Brew Co.	American Imperial Stout
531	Pecan Porter	6.80	Lost Cabin Beer Co.	American Porter
532	Burnout	5.60	Rainhard Brewing Co.	American Pale Ale (APA)
533	A Quick One	5.70	FUERST WIACEK	American IPA
534	Shape Shifter	6.40	Fourpure Brewing Co.	American IPA
535	Annuel	11.60	Bruery Terreux	American Wild Ale
536	Dark Infusion	8.50	Summit Brewing Company	English Sweet / Milk Stout
537	River Horse Summer Blonde	4.50	River Horse Brewing Co.	American Blonde Ale
538	Straight West Coastin'	8.20	Grains of Wrath	American Imperial IPA
539	Hades' Hounds Hunker Down Brown	?	Akademia Brewing Company	American Brown Ale
540	Black Tuesday - Reserve	20.50	The Bruery	American Imperial Stout
541	Skeleton Brut	9.00	Rhinegeist Brewery	American Brut IPA
542	Pinner Throwback IPA	4.90	Oskar Blues Grill & Brew	American IPA
543	Krampus I	12.60	Greenbush Brewing Company	British Barleywine
544	Norm	6.10	Old Ox Brewery	American IPA
545	Zywiec Saison	6.50	Zywiec Breweries PLC (Heineken)	Belgian Saison
546	Kalik	5.00	Commonwealth Brewery Ltd.	American Adjunct Lager
547	Hydro	7.80	Goodfire Brewing Company	American Imperial IPA
548	Death & Taxes Black Beer	5.00	Moonlight Brewing Company	German Schwarzbier
549	Recolte Du Bois Pluot	6.20	Tahoe Mountain Brewing Co.	Belgian Saison
550	Enjoy By Brüt IPA	9.40	Stone Brewing	American Brut IPA
551	Moon Rover	7.80	Kettlehead Brewing Company	American Imperial IPA
552	Pine Bomb	7.20	Abnormal Beer Company	American IPA
553	Oktoberfest Lager	6.00	Olde Hickory Brewery	German Märzen / Oktoberfest
554	Peculiar	4.00	Bent Hill Brewery	American Wild Ale
555	Mercury Wings	6.30	Intuition Ale Works	Belgian Pale Ale
556	Dank Tank Wookie Down Imperial Red Ale	7.60	SweetWater Brewing Company	American Imperial Red Ale
557	Newburgh Smoking Jacket	5.00	Newburgh Brewing Company	German Rauchbier
558	Barrel Aged Coconut Absentium	?	Scofflaw Brewing Company	American Imperial Stout
559	Rumblefish Hoppy Saison	6.00	Birds Fly South Ale Project	Belgian Saison
560	Sourmind	4.40	Cervejaria Dogma	Berliner Weisse
561	Head Full of Fresh Hops	6.80	Fremont Brewing Company	New England IPA
562	Salute to Classic Beer Styles	7.00	Green Cheek Beer Company	New England IPA
563	No Salt	5.70	The Rare Barrel	American Wild Ale
564	The Big North	5.50	Half Acre Beer Company	Fruit and Field Beer
565	Chuck Brown Ale	8.00	Bardo Brewpub	American Brown Ale
566	Blackberry Berliner Weiss	3.50	Back East Brewing Company	Berliner Weisse
567	Two-Flat	5.75	Hop Butcher For The World	American Pale Ale (APA)
568	Second Fiddle	8.20	Fiddlehead Brewing Company	American Imperial IPA
569	Festival Only (RareR Scooop)	?	Cycle Brewing	Russian Imperial Stout
570	Adnams Broadside	6.30	Adnams plc, Sole Bay Brewery	English Extra Special / Strong Bitter (ESB)
571	Chocolate Milk Stout	6.30	Dangerous Man Brewing	American Stout
572	IXPL Des Prairies	6.00	Brasserie Artisanale Maltstrom	American Lager
573	Ten FIDY - BA Java	10.50	Oskar Blues Grill & Brew	American Imperial Stout
574	White Cap	4.20	Hinterland Brewery Restaurant	Belgian IPA
575	Citra Noel	7.30	Columbus Brewing Company	American Amber / Red Ale
576	Thumbprint Milk Stout	6.50	New Glarus Brewing Company	English Sweet / Milk Stout
577	The Other One	7.90	Tilted Barn Brewery	New England IPA
578	Rubus Deliciosus	6.10	New Terrain Brewing Co	Belgian Witbier
579	redmiata	6.00	The Veil Brewing Co.	New England IPA
580	Bohemia Chocolatier	4.00	Antarctica (Companhia Brasileira De Bebidas)	European Dark Lager
581	Sumpin’ Easy	5.70	Lagunitas Brewing Company	American Pale Ale (APA)
582	Countach	8.10	Alvarado Street Brewery	American Imperial IPA
583	Secret Password	6.50	Jackie O's Pub & Brewery	American Lager
584	Wrought Iron IPA	6.90	Abita Brewing Co.	American IPA
585	Pine Mountain Sour Pale	5.70	Arizona Wilderness Brewing Co.	American Pale Ale (APA)
586	Pay It Forward Cocoa Porter	6.00	West Sixth Brewing Company	American Porter
587	10 Commandments	11.00	The Lost Abbey	Belgian Strong Dark Ale
588	Undun Blonde Ale	5.30	Natian Brewery	American Blonde Ale
589	Trademark Dispute: Vanilla	?	Cycle Brewing	American Imperial Stout
590	DaySpring	4.80	Creature Comforts	Belgian Saison
591	Kaylan's Kolsch	5.00	Ellison Brewery & Spirits	German Kölsch
592	Lyte into Dark	4.70	ZēLUS Beer Company	American Porter
593	Ruddy Darter	4.90	Andwell Brewing Company	English Bitter
594	Golden Ale	4.50	Cigar City Brewing	American Blonde Ale
595	Eichbaum Festbier	5.80	Privatbrauerei Eichbaum GmbH & Co. KG	Vienna Lager
596	Doug	6.00	Big Rock Urban Brewery and Eatery	American Black Ale
597	G'Suffa!	5.70	Fat Head's Brewery & Saloon	German Märzen / Oktoberfest
598	Kentucky Honey Barrel Brown Ale	10.00	Alltech's Lexington Brewing and Distilling Co.	American Brown Ale
599	Coffee Red	5.50	Sibling Revelry Brewing	American Amber / Red Ale
600	White	4.60	Real Ale Brewing Company	Belgian Witbier
601	Double Barrel Jesus	12.00	Evil Twin Brewing	American Imperial Stout
602	High Roller	6.75	Big Boss Brewing	American IPA
603	Ruud Vs Rake	5.50	Ska Brewing Co.	American Adjunct Lager
604	BA All the Leaves are Brown	11.20	Tempest Brewing Company	Scottish Ale
605	Mosiac	6.80	Hops and Grain Brewery	American IPA
606	Stacks On Stacks	8.50	Other Half Brewing Co.	American Imperial IPA
607	Mucho Lupo IPA	6.50	Founders Brewing Company	American IPA
608	Swordfish	11.00	Exhibit 'A' Brewing Company	American Barleywine
609	Uptown Pilsner	5.50	Elevator Brewery & Draught Haus	German Pilsner
610	Lord Grey	5.00	Three Taverns Craft Brewery	American Wild Ale
611	Nothing Gold	8.20	Bissell Brothers Brewing Co.	New England IPA
612	Pazuzu's Pedals	5.80	Illuminated Brew Works	Belgian Dark Ale
613	Deal With The Devil	8.50	18th Street Brewery - Gary Taproom	American Imperial IPA
614	Bound For Carolina	8.70	The Unknown Brewing Co.	American Brown Ale
615	Fig Mtn Mosaic	5.50	Figueroa Mountain Brewing Co.	American Pale Ale (APA)
616	Double Dry Hopped Saftig	?	Pulpit Rock Brewing Company	American IPA
617	Red Duck Canute The Gruit	4.40	Purrumbete Brewing Company (Red Duck)	Scottish Gruit / Ancient Herbed Ale
618	Everybody Wants Some *Citra*	8.00	Hoof Hearted Brewing	American Imperial IPA
619	Atomic Betty	8.50	Moonraker Brewing Company	American Imperial IPA
620	Ghost River Midnight Magic	?	Ghost River Brewing	German Schwarzbier
621	SPF 50/50 Tangerine	4.30	Red Hare Brewing Company	Fruit and Field Beer
622	Double Barrel Boss Jacket	17.20	Revolution Brewing	British Barleywine
623	Juicy Quokka	6.30	Straight To Ale	American IPA
624	Saluki Dunkeldog	5.40	Big Muddy Brewing	American Amber / Red Ale
625	Primeval Forest	5.30	Heart Of Darkness Brewery	Bohemian Pilsener
626	Hair Raiser	8.00	Exhibit 'A' Brewing Company	New England IPA
627	Răgana	7.30	Southern Prohibition Brewing	Baltic Porter
628	Relic	6.20	Strange Roots Experimental Ales	American Wild Ale
629	Feelin’ Berry Good	4.00	DankHouse Brewing Company	Fruit and Field Beer
630	Poppels Projekt 014 Wet Hopped Pale Ale	5.60	Poppels Bryggeri	American Pale Ale (APA)
631	Les Fauves	5.50	HopFusion Ale Works	Belgian Saison
632	Rare DOS Blue - Aged In Woodford Reserve Barrels	?	Peg's Cantina & Brew Pub	American Imperial Stout
633	Double Infinity (Eureka)	8.00	Superflux	American Imperial IPA
634	Smoke & Oats	5.30	Spoonwood Brewing Company	American Amber / Red Ale
635	Bulldog	7.50	Brouwerij Frontaal	American IPA
636	Genesee Cream Ale	5.10	Genesee Brewing Co. / Dundee Brewing Co.	American Cream Ale
637	Double Dry Hopped Hop Showers	7.40	Other Half Brewing Co.	American IPA
638	Bridge Backup New England DIPA	8.30	Naukabout Brewery	American Imperial IPA
639	Super Session IPA - Citra	4.20	Lawson's Finest Liquids	American IPA
640	Frooted: Red Raspberry	4.00	More Brewing Co.	Fruit and Field Beer
641	Tangier India Pale Ale	4.60	Southern Tier Brewing Company	American IPA
