	beer_name	abv	brewery	type
250	Trader Jose's Dark Lager	5.30	Trader Joe's Brewing Company	American Amber / Red Lager
251	Alouette	6.50	Dominion City Brewing Co.	American IPA
252	Eric's Ex-wife	7.20	Odd13 Brewing	American IPA
253	Defacto Imperial Black IPA (Barrel Aged Series)	9.00	No-Li Brewhouse	American Black Ale
254	Town Line	5.50	Oxbow Brewing Company	American Porter
255	Season's Greetings Peppermint Milk Stout	5.60	JDub's Brewing Company	English Sweet / Milk Stout
256	Search Saison	5.50	Magnify Brewing Company	Belgian Saison
257	Sol	4.50	Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.	American Adjunct Lager
258	Fat Squirrel Ale	5.80	New Glarus Brewing Company	English Brown Ale
259	Bright Lies	6.50	Brew Your Mind	American IPA
260	Toxic Revolution	8.50	3 Floyds Brewing Co.	American Imperial Stout
261	Look To The Cookie	13.10	Cigar City Brewing	American Imperial Stout
262	Cacow	6.30	Green Flash Brewing Co	English Sweet / Milk Stout
263	Black Lotus - Bourbon Barrel-Aged	?	Barrel Theory Beer Company	American Imperial Stout
264	Oude Kriek	6.00	Hanssens Artisanaal bvba	Belgian Fruit Lambic
265	Soul Radiation: Citra	6.70	6A Brewing Company	American IPA
266	Jubilee	12.00	Victory Brewing Company - Downingtown	Bière de Champagne / Bière Brut
267	On the Spectrum	6.50	Woodstock Brewing	American IPA
268	Dorothy (Wine Barrel Aged)	7.00	Hill Farmstead Brewery	Belgian Saison
269	Secret Stache Stout	5.30	Finch Beer Co.	American Stout
270	Coffee No Hope For Rescue	18.20	Rip Current Brewing	American Imperial Stout
271	R&D Vintage 2015	5.90	New Glarus Brewing Company	Belgian Gueuze
272	Berry Bu	4.40	de Garde Brewing	Berliner Weisse
273	Sure Bet	9.50	Pipeworks Brewing Company	American Imperial IPA
274	State Of Mind	4.40	Collective Arts Brewing	American IPA
275	Seizoen Bretta	8.00	Logsdon Farmhouse Ales	Belgian Saison
276	Handfuls Of Hops	?	StormBreaker Brewing	American IPA
277	Foolery	13.00	Hardywood Park Craft Brewery	English Sweet / Milk Stout
278	Bumbleberry Pie	6.00	Funk Factory Geuzeria	American Wild Ale
279	Royal Blood	5.50	3 Nations Brewing Co.	Belgian Witbier
280	Frontside Lipslide	10.00	Al's of Hampden / Pizza Boy Brewing	American Imperial IPA
281	A10 Hop Hog	6.30	Copperpoint Brewing Company	American Amber / Red Ale
282	Dance Contest Winner	6.50	Mystic Brewery	American IPA
283	Urban Fox	4.40	Bootleg Brewing Co	Rye Beer
284	La Faisant-Malt	5.20	La Voie Maltée	American Pale Ale (APA)
285	Clearwater Honey Cream	5.00	Pair O' Dice Brewing Company	American Cream Ale
286	REKKR	5.50	Mason's Brewing Company	American IPA
287	Takeaway IPA	6.00	Southern Barrel Brewing Co.	American IPA
288	Peak Organic Amber Ale	4.90	Peak Organic Brewing Company	American Amber / Red Ale
289	Wise and Gray	7.20	Key Brewing Co.	American IPA
290	Black Liquids, Vol. 3	9.50	Bellwoods Brewery	American Imperial Stout
291	Saranac Season's Best Winter Lager	5.60	Matt Brewing Company / Saranac Brewery	American Amber / Red Lager
292	Bohemian Pilsner	4.80	Ardent Craft Ales	Bohemian Pilsener
293	Stirred	8.10	Offshoot Beer Co.	American Imperial IPA
294	Bríó Nr. 1	4.50	Borg Brugghús	German Pilsner
295	Currency	6.60	Finback Brewery	American IPA
296	Mysterium Verum Four Horsemen	?	Real Ale Brewing Company	Belgian Quadrupel (Quad)
297	Gose	4.40	Real Ale Brewing Company	Leipzig Gose
